Term,Category,Reasoning,Original_Label,NLD
ostracod,Geological Object,"An ostracod, especially as a fossil, is a rigid entity with its own identity and unity, generated and preserved by geological processes.",FOSSEIS,"An ostracod is a bivalved microcrustacean that possesses a chitinous or calcareous carapace and is widely preserved as a fossil in marine and non-marine sedimentary rocks, providing key data for biostratigraphy and paleoenvironmental analysis."
carbonate,Sedimentary Rock,The NLD explicitly defines a carbonate as a 'sedimentary rock' primarily composed of carbonate minerals.,ROCHA,"A carbonate is a sedimentary rock that is primarily composed of carbonate minerals, such as calcite (CaCO3) or dolomite (CaMg(CO3)2), and typically forms from the accumulation of biogenic material or chemical precipitation in marine or lacustrine environments."
grainstone,Sedimentary Rock,"The NLD defines grainstone as a 'carbonate rock' that is 'grain-supported,' which directly aligns with the definition of Sedimentary Rock as a 'Rock constituted by some collection of sedimentary grains or particles.'",ROCHA,"A grainstone is a carbonate rock that is characterized by being grain-supported, containing less than 10% mud matrix, and typically having its intergranular pores filled by sparry calcite cement."
travertine,Rock,"The NLD explicitly states that 'Travertine is a rock' and describes it as a solid, consolidated material composed of calcium carbonate, which aligns with the GeoCore definition of Rock.",ROCHA,"Travertine is a rock that is a terrestrial form of limestone, composed of calcium carbonate, precipitated from mineral-rich waters, typically at the mouth of hot springs or in caves."
arenite,Sedimentary Rock,"The NLD explicitly defines arenite as a 'clastic sedimentary rock', which directly aligns with the definition of Sedimentary Rock.",ROCHA,Arenite is a clastic sedimentary rock that is characterized by having a sand-sized grain fraction (0.0625 to 2 mm) dominating its composition.
Cretaceous,Geological Time Interval,"The NLD defines Cretaceous as a 'geological period spanning from approximately 145 to 66 million years ago,' which directly matches the definition of a Geological Time Interval.",UNIDADE_CRONO,"The Cretaceous is a chronostratigraphic unit that represents a geological period spanning from approximately 145 to 66 million years ago, marking the final period of the Mesozoic Era. It is characterized by significant global tectonic activity, including the rifting and opening of the South Atlantic Ocean. This period is crucial for the deposition of syn-rift and post-rift carbonate and evaporite sequences, which host the prolific Pre-Salt reservoirs of Brazil."
rudstone,Sedimentary Rock,"The NLD defines rudstone as a carbonate rock characterized by grains, which directly matches the definition of a Sedimentary Rock.",ROCHA,A rudstone is a carbonate rock that is characterized by having more than 10% of its volume composed of grains larger than 2 mm (rudaceous grains) and exhibiting a grain-supported fabric.
coquina,Sedimentary Rock,"The NLD defines coquina as a type of limestone composed of shell fragments, which directly aligns with the definition of a Sedimentary Rock as a rock constituted by sedimentary grains or particles.",ROCHA,"Coquina is a type of limestone that is primarily composed of poorly cemented, sand- to gravel-sized shell fragments. These fragments are typically well-preserved and show little evidence of transport, often accumulating in high-energy, shallow lacustrine or marine environments."
mudstone,Sedimentary Rock,The NLD explicitly defines a mudstone as a 'sedimentary rock'.,ROCHA,A mudstone is a sedimentary rock that is composed predominantly of clay and silt-sized particles and lacks fissility.
ooid,Geological Object,"An ooid is a discrete, rigid carbonate grain formed by precipitation, fitting the definition of a Geological Object as a rigid entity generated by a geological process with its own identity and unity.",NAO_CONSOLID,"An ooid is a spherical to ellipsoidal carbonate grain, typically 0.2 to 2 mm in diameter, that is characterized by concentric laminae of calcium carbonate (aragonite or calcite) precipitated around a nucleus. It forms in agitated, shallow-water, often hypersaline, marine or lacustrine environments."
bivalve,Sedimentary Geological Object,"The term describes a fossilized organism that is preserved within and contributes to sedimentary rocks, fitting the definition of a Sedimentary Geological Object.",FOSSEIS,"A bivalve is a fossilized marine mollusk that possesses a shell composed of two hinged valves, commonly preserved in sedimentary rocks. These fossils are significant as biostratigraphic indicators and can contribute to the fabric of carbonate reservoirs, including those of the Brazilian Pre-Salt."
basalt,Rock,"The NLD explicitly defines basalt as an 'extrusive igneous rock', which directly matches the GeoCore definition of Rock as a solid, consolidated Earth Material.",ROCHA,"Basalt is an extrusive igneous rock that is mafic in composition, characterized by a fine-grained (aphanitic) texture due to rapid cooling of lava at or near the Earth's surface."
fault,Geological Structure,"A fault is described as a planar fracture or discontinuity with displacement, which fits the definition of a Geological Structure as describing the internal arrangement and relationships of parts within a Geological Object.",ESTRUTURA_FISICA,"A fault is a planar fracture or discontinuity in a volume of rock that exhibits significant relative displacement of the rock masses on either side, resulting from brittle deformation of the Earth's crust."
shrubstone,Sedimentary Rock,"The NLD explicitly defines shrubstone as a 'biogenic carbonate rock,' which is a specific type of sedimentary rock.",ROCHA,"Shrubstone is a biogenic carbonate rock that exhibits a branching, arborescent, or shrub-like growth morphology, formed by the precipitation of carbonate minerals mediated by microbial communities."
wackestone,Sedimentary Rock,"The NLD explicitly defines wackestone as a 'carbonate rock,' which is a specific type of Sedimentary Rock.",ROCHA,A wackestone is a carbonate rock that is mud-supported and contains more than 10% sand-sized or larger grains (allochems).
calcarenite,Sedimentary Rock,"The NLD explicitly defines calcarenite as a limestone primarily composed of sand-sized carbonate grains, which directly matches the definition of Sedimentary Rock.",ROCHA,A calcarenite is a limestone that is primarily composed of sand-sized (0.0625 to 2 mm) carbonate grains.
sandstone,Sedimentary Rock,"The NLD explicitly defines sandstone as a 'clastic sedimentary rock' composed of grains, which directly aligns with the definition of Sedimentary Rock.",ROCHA,"A sandstone is a clastic sedimentary rock that is primarily composed of sand-sized mineral grains or rock fragments. These grains, typically quartz, feldspar, or lithic fragments, are cemented together by a matrix of finer material or chemical precipitates."
Aptian,Geological Time Interval,"The NLD describes Aptian as a chronostratigraphic stage spanning a specific duration, which aligns with the definition of a Geological Time Interval as a temporal region of finite dimension.",UNIDADE_CRONO,"Aptian is a chronostratigraphic stage that represents a division of the Early Cretaceous epoch, succeeding the Barremian and preceding the Albian stages, and spanning from approximately 125.0 to 113.0 million years ago."
dolostone,Sedimentary Rock,"The NLD explicitly defines dolostone as a 'sedimentary carbonate rock', which directly aligns with the definition of Sedimentary Rock in GeoReservoir.",ROCHA,"Dolostone is a sedimentary carbonate rock that is predominantly composed of the mineral dolomite (CaMg(CO3)2), typically containing more than 50% dolomite by weight."
gastropod,Geological Object,"The NLD describes a mollusk whose 'fossilized remains' are common, and these remains are rigid entities generated by geological processes, fitting the definition of a Geological Object.",FOSSEIS,"A gastropod is a mollusk that is characterized by a distinct head, a ventral muscular foot, and typically a single, spirally coiled shell, whose fossilized remains are common in marine and freshwater sedimentary successions."
lacustrine,spatiotemporal region,"The NLD describes a 'paleoenvironment' as a 'setting' where 'depositional conditions' and 'sedimentation occur', indicating a region that exists in both space and time.",PALEOAMBIENTE,"A lacustrine paleoenvironment is a paleoenvironment that is characterized by depositional conditions within a lake, typically exhibiting restricted circulation, variable salinity (often hypersaline to brackish), and alkaline waters. It is a setting where microbial carbonate precipitation, evaporite deposition, and clastic sedimentation occur, forming key reservoir and source rocks in the Brazilian Pre-Salt."
continental,spatiotemporal region,"The NLD describes a 'paleoenvironment' characterized by 'depositional settings and processes occurring on land,' which refers to a region of spacetime where specific geological activities took place in the past.",PALEOAMBIENTE,"A continental paleoenvironment is a paleoenvironment that is characterized by depositional settings and processes occurring on land, away from direct marine influence, typically involving fluvial, lacustrine, or eolian systems."
