Readable_Term,Label,Frequency
ostracod,FOSSEIS,8
carbonate,ROCHA,6
grainstone,ROCHA,5
travertine,ROCHA,5
arenite,ROCHA,5
marinha,PALEOAMBIENTE,5
cretace,UNIDADE_CRONO,4
rudstone,ROCHA,4
coquina,ROCHA,4
mudstone,ROCHA,4
ooid,NAO_CONSOLID,4
bivalve,FOSSEIS,4
basalt,ROCHA,4
fault,ESTRUTURA_FISICA,4
shrubstone,ROCHA,4
wackestone,ROCHA,4
calcarenite,ROCHA,4
sandstone,ROCHA,4
aptiano,UNIDADE_CRONO,4
dolostone,ROCHA,4
gastropod,FOSSEIS,4
lacustri,PALEOAMBIENTE,4
continental,PALEOAMBIENTE,3
dolomite,MINERAIS | ROCHA,3
falha,ESTRUTURA_FISICA,3
packstone,ROCHA,3
baciadesantos.,BACIA,3
claystone,ROCHA,3
peloid,FOSSEIS | NAO_CONSOLID,3
mollusk,FOSSEIS,3
conglomerate,ROCHA,3
siltstone,ROCHA,3
laminite,ROCHA,3
boundstone,ROCHA,3
talc,MINERAIS,3
maastrichtiano,UNIDADE_CRONO,3
calcite,MINERAIS,2
santo,BACIA,2
campos,BACIA,2
quartz,MINERAIS,2
camposbasin,BACIA,2
carbonates.,ROCHA,2
barravelha,CAMPO | UNIDADE_LITO,2
baciadesantos,BACIA,2
barremian,UNIDADE_CRONO,2
"carbonates,",ROCHA,2
pre-alagoas,UNIDADE_CRONO,2
"grainstones,",ROCHA,2
"quartz,",MINERAIS,2
limestone,ROCHA,2
laminations,ESTRUTURA_FISICA,2
"mudstones,",ROCHA,2
micrite,MINERAIS,2
alluvial,PALEOAMBIENTE,2
grainstones.,ROCHA,2
"packstones,",ROCHA,2
halite,ROCHA,2
"rudstones,",ROCHA,2
"sandstones,",ROCHA,2
pyrite,MINERAIS | ROCHA,2
dolomudstone,ROCHA,2
siltite,ROCHA,2
"travertines,",ROCHA,2
rudstones.,ROCHA,2
"cretaceous,",UNIDADE_CRONO,2
mesozoic,UNIDADE_CRONO,2
"peloids,",FOSSEIS | NAO_CONSOLID,2
proterozoic,UNIDADE_CRONO,2
shell,FOSSEIS,2
barite,MINERAIS,2
magnesite,MINERAIS,2
"campodebuzios,",CAMPO,2
chalcedony,MINERAIS | ROCHA,2
neoproterozoic,UNIDADE_CRONO,2
