Corrected_Term,NLD,Original_Label
ostracod,"An ostracod is a bivalved microcrustacean that possesses a chitinous or calcareous carapace and is widely preserved as a fossil in marine and non-marine sedimentary rocks, providing key data for biostratigraphy and paleoenvironmental analysis.",FOSSEIS
carbonate,"A carbonate is a sedimentary rock that is primarily composed of carbonate minerals, such as calcite (CaCO3) or dolomite (CaMg(CO3)2), and typically forms from the accumulation of biogenic material or chemical precipitation in marine or lacustrine environments.",ROCHA
grainstone,"A grainstone is a carbonate rock that is characterized by being grain-supported, containing less than 10% mud matrix, and typically having its intergranular pores filled by sparry calcite cement.",ROCHA
travertine,"Travertine is a rock that is a terrestrial form of limestone, composed of calcium carbonate, precipitated from mineral-rich waters, typically at the mouth of hot springs or in caves.",ROCHA
arenite,Arenite is a clastic sedimentary rock that is characterized by having a sand-sized grain fraction (0.0625 to 2 mm) dominating its composition.,ROCHA
Cretaceous,"The Cretaceous is a chronostratigraphic unit that represents a geological period spanning from approximately 145 to 66 million years ago, marking the final period of the Mesozoic Era. It is characterized by significant global tectonic activity, including the rifting and opening of the South Atlantic Ocean. This period is crucial for the deposition of syn-rift and post-rift carbonate and evaporite sequences, which host the prolific Pre-Salt reservoirs of Brazil.",UNIDADE_CRONO
rudstone,A rudstone is a carbonate rock that is characterized by having more than 10% of its volume composed of grains larger than 2 mm (rudaceous grains) and exhibiting a grain-supported fabric.,ROCHA
coquina,"Coquina is a type of limestone that is primarily composed of poorly cemented, sand- to gravel-sized shell fragments. These fragments are typically well-preserved and show little evidence of transport, often accumulating in high-energy, shallow lacustrine or marine environments.",ROCHA
mudstone,A mudstone is a sedimentary rock that is composed predominantly of clay and silt-sized particles and lacks fissility.,ROCHA
ooid,"An ooid is a spherical to ellipsoidal carbonate grain, typically 0.2 to 2 mm in diameter, that is characterized by concentric laminae of calcium carbonate (aragonite or calcite) precipitated around a nucleus. It forms in agitated, shallow-water, often hypersaline, marine or lacustrine environments.",NAO_CONSOLID
bivalve,"A bivalve is a fossilized marine mollusk that possesses a shell composed of two hinged valves, commonly preserved in sedimentary rocks. These fossils are significant as biostratigraphic indicators and can contribute to the fabric of carbonate reservoirs, including those of the Brazilian Pre-Salt.",FOSSEIS
basalt,"Basalt is an extrusive igneous rock that is mafic in composition, characterized by a fine-grained (aphanitic) texture due to rapid cooling of lava at or near the Earth's surface.",ROCHA
fault,"A fault is a planar fracture or discontinuity in a volume of rock that exhibits significant relative displacement of the rock masses on either side, resulting from brittle deformation of the Earth's crust.",ESTRUTURA_FISICA
shrubstone,"Shrubstone is a biogenic carbonate rock that exhibits a branching, arborescent, or shrub-like growth morphology, formed by the precipitation of carbonate minerals mediated by microbial communities.",ROCHA
wackestone,A wackestone is a carbonate rock that is mud-supported and contains more than 10% sand-sized or larger grains (allochems).,ROCHA
calcarenite,A calcarenite is a limestone that is primarily composed of sand-sized (0.0625 to 2 mm) carbonate grains.,ROCHA
sandstone,"A sandstone is a clastic sedimentary rock that is primarily composed of sand-sized mineral grains or rock fragments. These grains, typically quartz, feldspar, or lithic fragments, are cemented together by a matrix of finer material or chemical precipitates.",ROCHA
Aptian,"Aptian is a chronostratigraphic stage that represents a division of the Early Cretaceous epoch, succeeding the Barremian and preceding the Albian stages, and spanning from approximately 125.0 to 113.0 million years ago.",UNIDADE_CRONO
