Entity,Label,Count,Average_Score
calcite,MINERAIS,447,"0,8300"
Santos,BACIA,362,"0,8030"
carbonates,ROCHA,313,"0,7634"
Campos,BACIA,271,"0,9684"
grainstones,ROCHA,256,"0,9517"
continental,PALEOAMBIENTE,193,"0,8864"
Barra,CAMPO,159,"0,6382"
Aptian,UNIDADE_CRONO,147,"0,8497"
dolomite,MINERAIS,139,"0,7722"
quartz,MINERAIS,130,"0,9900"
grainstone,ROCHA,127,"0,8880"
Cretaceous,UNIDADE_CRONO,126,"0,8246"
rudstones,ROCHA,117,"0,9460"
carbonate,ROCHA,92,"0,6889"
CamposBasin,BACIA,87,"0,8691"
carbonates.,ROCHA,85,"0,7902"
falhas,ESTRUTURA_FISICA,82,"0,9997"
coquinas,ROCHA,81,"0,9675"
"calcite,",MINERAIS,79,"0,9096"
BarraVelha,CAMPO,78,"0,7137"
Velha,UNIDADE_LITO,78,"0,5548"
"CamposBasin,",BACIA,74,"0,8876"
Kwanza,BACIA,67,"0,7560"
rudstone,ROCHA,66,"0,8830"
BaciadeSantos,BACIA,65,"0,9998"
mudstones,ROCHA,64,"0,9255"
lakes,PALEOAMBIENTE,63,"0,8025"
ooids,NAO_CONSOLID,61,"0,8001"
packstones,ROCHA,57,"0,9184"
bivalve,FOSSEIS,57,"0,9181"
Barremian,UNIDADE_CRONO,55,"0,9843"
mudstone,ROCHA,55,"0,8964"
"carbonates,",ROCHA,54,"0,8069"
"dolomite,",MINERAIS,54,"0,8196"
BaciadeSantos.,BACIA,49,"0,9999"
Pre-Alagoas,UNIDADE_CRONO,42,"0,9315"
basalts,ROCHA,42,"0,9216"
calcite.,MINERAIS,42,"0,9105"
"grainstones,",ROCHA,39,"0,9763"
travertine,ROCHA,38,"0,8756"
"quartz,",MINERAIS,38,"0,9948"
limestones,ROCHA,35,"0,8807"
Precambrian,UNIDADE_CRONO,34,"0,8612"
ostracods,FOSSEIS,33,"0,8756"
coquina,ROCHA,33,"0,7613"
Grainstone,ROCHA,30,"0,8482"
cretaceous,UNIDADE_CRONO,30,"0,8097"
faulting,ESTRUTURA_FISICA,29,"0,7914"
faults,ESTRUTURA_FISICA,26,"0,7466"
claystones,ROCHA,26,"0,9524"
peloids,NAO_CONSOLID,25,"0,6484"
laminations,ESTRUTURA_FISICA,24,"0,6625"
dolomite.,MINERAIS,24,"0,8125"
CO2,FLUIDODATERRA,24,"0,7659"
Albian,UNIDADE_CRONO,24,"0,9557"
