Term_Original,Label,Reason,LLM_Response,Error
marinha,PALEOAMBIENTE,Not recognized by LLM,UNKNOWN_TERM,
santo,BACIA,Not recognized by LLM,UNKNOWN_TERM,
discorda,ESTRUTURA_FISICA,Not recognized by LLM,UNKNOWN_TERM,
esferulitos,ROCHA,Not recognized by LLM,UNKNOWN_TERM,
paleoce,UNIDADE_CRONO,Not recognized by LLM,UNKNOWN_TERM,
cenozoicos,UNIDADE_CRONO,Not recognized by LLM,UNKNOWN_TERM,
barra,CAMPO,Not recognized by LLM,UNKNOWN_TERM,
velha,UNIDADE_LITO,Not recognized by LLM,UNKNOWN_TERM,
kwanza,BACIA,Not recognized by LLM,UNKNOWN_TERM,
2-anp-2a-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
3-brsa-1267a-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
rochascarbona,ROCHA,Not recognized by LLM,UNKNOWN_TERM,
"2-anp-2a-rjs,",POÇO,Not recognized by LLM,UNKNOWN_TERM,
3-brsa-1310-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
itapema,UNIDADE_LITO,Not recognized by LLM,UNKNOWN_TERM,
3-brsa-1339a-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
3-brsa-1342a-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
3-brsa-1322-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
4-brsa-1346-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
4-brsa-1226-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
"falhas,",ESTRUTURA_FISICA,Not recognized by LLM,UNKNOWN_TERM,
"3-brsa-1053-rjs,",POÇO,Not recognized by LLM,UNKNOWN_TERM,
"2-anp-1-rjs,",POÇO,Not recognized by LLM,UNKNOWN_TERM,
8-buz-28da-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
-alagoas,UNIDADE_CRONO,Not recognized by LLM,UNKNOWN_TERM,
buracica,UNIDADE_CRONO,Not recognized by LLM,UNKNOWN_TERM,
1-brsa-1146-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
embasamento,UNIDADE_LITO,Not recognized by LLM,UNKNOWN_TERM,
folhelhos,ROCHA,Not recognized by LLM,UNKNOWN_TERM,
3-brsa-1305a-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
3-brsa-1255-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
3-brsa-1350-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
3-brsa-1064-rjs,POÇO,Not recognized by LLM,UNKNOWN_TERM,
"8-buz-20-rjs,",POÇO,Not recognized by LLM,UNKNOWN_TERM,
"8-buz-26-rjs,",POÇO,Not recognized by LLM,UNKNOWN_TERM,
